Keyword,Label
assassinate,3
Kiss,1
spike,1
Ginger,2
Fuck,4
Fat,2
fucked,4
capture,2
shot,2
lesbian,2
Punchy,2
hermaphrodite,3
Choke,2
Sour,2
shit,2
stupid,2
raghead,3
stab,3
shut,2
Deepthroat,4
Teabagging,4
cock,4
killer,2
ugly,2
cunt,3
Muslim,2
Die,3
Minging,3
Trash,2
cow,3
whore,4
dead,3
sucks,2
feminist,2
manwoman,3
Racist,2
arab,2
bang,3
hate,1
Faggot,4
bullet,2
slap,2
twat,2
dyke,4
terrorist,4
western,1
slapping,2
slag,4
shoot,2
mouth,2
b*tch,3
treason,1
Throat,2
internet,1
negative,2
stirring,2
nazi,3
jail,2
Cum,4
b**ch,4
c**t,4
Mutilated,4
Worthless,2
rip,3
witch,3
c***,3
demon,3
ho,4
Punch,2
jew,3
Corpse,3
rapes,4
Slutty,3
Kick,2
kicking,2
dumb,3
femnazi,4
f***,3
Unrapeable,2
rug,2
ass,3
f*ckin,4
raped,4
little,1
bitch,4
Face,2
fascist,3
shove,2
Pussy,3
Cunts,3
black,2
ironing,1
Obese,2
idiot,1
neck,2
Lesbo,3
slut,4
hell,2
yourself,1
damn,1
fuckmeat,3
rape,4
Baby,1
faced,1
penis,4
prostitute,4
Hole,2
c*nt,3
Tranny,4
nigga,2
nigg**,2
Eat,1
her,1
arse,2
PussylickerPussy,4
Gagging,3
Man-looking,2
Gremlin,2
fucking,4
Slit,2
herself,1
Horrible,3
Scrubmuffin,3
Africa,1
Jump,2
femtard,4
feminazi,4
munching,3
mutilate,4
b****,4
women,1
Throw,1
asshole,4
cut,1
thick,2
paki,3
Hysterical,3
licker,4
f*ck,4
nigg*,3
muncher,3
skank,4
rifle,2
Retard,3
f***in,4
Kill,3
Vagina,4
Shooting,3
Gag,3
ihopeyougetraped,4
gang,2
Hang,3
Hag,3
dick,4
monkeys,3
Cum-guzzling,4
hoe,4
Shoved,3
death,3
Fuckin,4
Delusional,2
cancer,2
nigger,4
